Category,ThemeWord,ImagePath,Description,Question,Answer
Body Parts,ankle,,"The ankle is round and looks painful. It helps us walk, run, and stand.","1. What can you see in the picture?
2. What shape is the ankle?
3. How many ankles do you have?
4. What can you do with your ankle?
5. Where is the ankle, on your hand or on your foot?
6. Does the ankle look happy or painful?
7. Can you jump with your ankle?","1. I can see an ankle in the picture.
2. The ankle is round.
3. I have two ankles.
4. I can walk, run, and stand with my ankle.
5. The ankle is on my foot.
6. The ankle looks painful.
7. Yes, I can jump with my ankle."
Body Parts,cheek,,The cheeks are pink and soft. They help us smile and talk.,"1. What can you see in the picture?
2. What color are the cheeks?
3. How many cheeks do you have?
4. What do cheeks help us do, smile or jump?
5. Where are the cheeks, on the face or on the hand?
6. Are cheeks soft or hard?
7. What do we use cheeks for, to talk or to run?","1. I can see cheeks in the picture.
2. The cheeks are pink.
3. I have two cheeks.
4. Cheeks help us smile.
5. The cheeks are on the face.
6. Cheeks are soft.
7. We use cheeks to talk."
Body Parts,chin,,This is a chin. It is at the bottom of the face. It helps you talk and chew your food. It is smooth and round.,"1. What can you see in the picture?
2. Where is the chin?
3. What does the chin look like?
4. What does the chin help you do, talk or see?
5. How many chins do you have?
6. Is the chin at the top or bottom of the face?
7. What do you use your chin for, eating or running?","1. I can see a chin in the picture.
2. The chin is at the bottom of the face.
3. The chin is smooth and round.
4. The chin helps you talk.
5. I have one chin.
6. The chin is at the bottom of the face.
7. I use my chin for eating."
Body Parts,ear,,This is an ear. It is pink and curved. We use our ears to hear sounds.,"1. What can you see in the picture?
2. What color is the ear?
3. How many ears do you have?
4. What do we use our ears for?
5. Is the ear straight or curved?
6. Where is the ear, on your head or on your hand?
7. Can you hear with your ears?","1. I can see an ear in the picture.
2. The ear is pink.
3. I have two ears.
4. We use our ears to hear sounds.
5. The ear is curved.
6. The ear is on your head.
7. Yes, I can hear with my ears."
Body Parts,elbow,,The elbow is brown and pointing up. It helps to bend the arm.,"1. What can you see in the picture?
2. What color is the elbow?
3. How many elbows do you have?
4. What does the elbow do?
5. Where is the elbow, on the arm or on the leg?
6. Is the elbow pointing up or down?
7. Can you touch your elbow?","1. I can see an elbow in the picture.
2. The elbow is brown.
3. I have two elbows.
4. The elbow helps to bend the arm.
5. The elbow is on the arm.
6. The elbow is pointing up.
7. Yes, I can touch my elbow."
Body Parts,eye,,This is a big brown eye. It helps us see things.,"1. What can you see in the picture?
2. What color is the eye?
3. How many eyes do you have?
4. What do eyes help us do?
5. Where are your eyes, on your head or on your hand?
6. Do you close your eyes when you sleep?
7. Can you see with your eyes open or closed?","1. I can see an eye in the picture.
2. The eye is brown.
3. I have two eyes.
4. Eyes help us see.
5. My eyes are on my head.
6. Yes, I close my eyes when I sleep.
7. I can see with my eyes open."
Body Parts,feet,,These are two feet. Each foot has five toes and is light brown. They help us walk and stand.,"1. What can you see in the picture?
2. What color are the feet?
3. How many toes does one foot have?
4. What do feet help us do, walk or eat?
5. How many feet do people have, two or four?
6. Where are the feet, on the head or on the legs?
7. What do we use feet for, to stand or to talk?","1. I can see feet in the picture.
2. The feet are light brown.
3. One foot has five toes.
4. Feet help us walk.
5. People have two feet.
6. The feet are on the legs.
7. We use feet to stand."
Body Parts,finger,,"These are fingers. They are pink and come in different sizes. Fingers help us hold things, touch things, and count numbers.","1. What can you see in the picture?
2. What color are the fingers?
3. How many fingers do you have?
4. What can you do with your fingers?
5. Where are your fingers, on your hand or on your foot?
6. Can you count with your fingers?
7. Do you use your fingers to touch things?","1. I can see fingers in the picture.
2. The fingers are pink.
3. I have five fingers.
4. I can hold things with my fingers.
5. My fingers are on my hand.
6. Yes, I can count with my fingers.
7. Yes, I use my fingers to touch things."
Body Parts,fingernails,,The fingernails are red and shiny. Two of them have white polka dots. They look pretty and clean.,"1. What can you see in the picture?
2. What color are the fingernails?
3. How many fingernails do you have?
4. What is on two of the fingernails?
5. Do the fingernails look pretty or dirty?
6. What do we use fingernails for, to eat or to scratch?
7. Where are the fingernails, on your hands or on your feet?","1. I can see fingernails in the picture.
2. The fingernails are red.
3. I have ten fingernails.
4. Two fingernails have white polka dots.
5. The fingernails look pretty.
6. We use fingernails to scratch.
7. The fingernails are on my hands."
Body Parts,hair,,The hair is brown and curly. It helps to keep the scalp safe and warm.,"1. What can you see in the picture?
2. What color is the hair?
3. Is the hair straight or curly?
4. How many hairs do people have, one or many?
5. Where is the hair, on the head or on the hand?
6. What does the hair do, keep warm or help us see?
7. Is the hair long or short?","1. I can see hair in the picture.
2. The hair is brown.
3. The hair is curly.
4. People have many hairs.
5. The hair is on the head.
6. The hair keeps us warm.
7. The hair is long."
