Category,ThemeWord,ImagePath,Description,Question,Answer
Family & Friends,old,,This is a picture of an old person. They are looking at the camera. They have wrinkles on their face.,"1. What can you see in the picture?
2. What is the old person doing?
3. What color is the old person's hair?
4. How many wrinkles does the old person have, a few or many?
5. What can the old person do, read or play?
6. Who is the old person in your family, grandma or grandpa?
7. Why is the old person special?","1. I can see an old person.
2. The old person is looking at the camera.
3. The old person's hair is white.
4. The old person has many wrinkles.
5. The old person can read.
6. The old person is grandma.
7. The old person is special because they love me."
Family & Friends,sister,,Two happy sisters are lying on the grass together.,"1. What can you see in the picture?
2. What are the sisters doing?
3. How many sisters are there?
4. Where are the sisters, on the grass or on the bed?
5. What color is the grass, green or blue?
6. Are the sisters happy or sad?
7. Who is with the sisters, a brother or a friend?","1. I can see two sisters in the picture.
2. The sisters are lying on the grass.
3. There are two sisters.
4. The sisters are on the grass.
5. The grass is green.
6. The sisters are happy.
7. A sister is with the sister."
Family & Friends,son,,A man is holding a little boy in his arms. They are hugging and look very happy and loving.,"1. What can you see in the picture?
2. What is the man doing?
3. How do they look?
4. Is the boy big or small?
5. Where are they, inside or outside?
6. What is the boy to the man, a son or a friend?
7. Why is the son special?","1. I can see a man and a boy.
2. The man is holding the boy.
3. They look happy.
4. The boy is small.
5. They are inside.
6. The boy is the man's son.
7. The son is special because he is loved."
Family & Friends,uncle,,An old man and a young girl are sitting together. The old man is hugging the girl. They both look happy and loving.,"1. What can you see in the picture?
2. What is the old man doing?
3. How do they feel, happy or sad?
4. What color is the old man's hair, black or white?
5. Who is the old man to the girl, a friend or an uncle?
6. What can the uncle do with the girl?
7. Why is the uncle special?","1. I can see an old man and a young girl.
2. The old man is hugging the girl.
3. They feel happy.
4. The old man's hair is white.
5. The old man is an uncle.
6. The uncle can play with the girl.
7. The uncle is special because he loves the girl."
Family & Friends,wife,,"A man and a woman are hugging on the beach. The man is wearing a pink shirt, and the woman is wearing a white dress. They look very happy together.","1. What can you see in the picture?
2. What color is the man's shirt?
3. What is the woman wearing?
4. Where are the man and the woman?
5. What are the man and the woman doing?
6. How do the man and the woman feel?
7. Who is the woman to the man, a friend or a wife?","1. I can see a man and a woman.
2. The man's shirt is pink.
3. The woman is wearing a white dress.
4. The man and the woman are on the beach.
5. The man and the woman are hugging.
6. The man and the woman feel happy.
7. The woman is the man's wife."
Family & Friends,woman,,A happy woman is smiling.,"1. What can you see in the picture?
2. What is the woman doing?
3. What color is the woman's hair?
4. Is the woman happy or sad?
5. Where is the woman, at home or in the park?
6. What can the woman do, cook or fly?
7. How does the woman help the family?","1. I can see a woman in the picture.
2. The woman is smiling.
3. The woman's hair is black.
4. The woman is happy.
5. The woman is at home.
6. The woman can cook.
7. The woman helps by cooking and cleaning."
Family & Friends,young,,A young girl with long hair is posing for a photo. She is wearing a gray shirt and standing outside with green leaves in the background.,"1. What can you see in the picture?
2. What color is the girl's shirt?
3. What is the girl doing?
4. Where is the girl, inside or outside?
5. What is in the background, green leaves or blue sky?
6. Is the girl young or old?
7. What makes the girl special?","1. I can see a girl in the picture.
2. The girl's shirt is gray.
3. The girl is posing for a photo.
4. The girl is outside.
5. Green leaves are in the background.
6. The girl is young.
7. The girl has long hair."
Family & Friends,aunt,,A happy aunt is holding a baby. They are both smiling.,"1. What can you see in the picture?
2. What is the aunt doing?
3. Are they happy or sad?
4. What color is the baby's clothes, blue or red?
5. Where are they, inside or outside?
6. Is the aunt a family member or a friend?
7. What makes the aunt special?","1. I can see an aunt and a baby.
2. The aunt is holding the baby.
3. They are happy.
4. The baby's clothes are blue.
5. They are inside.
6. The aunt is a family member.
7. The aunt loves the baby."
Family & Friends,baby,,"A baby is sleeping peacefully, wearing a white knitted hat.","1. What can you see in the picture?
2. What is the baby doing?
3. What color is the baby's hat?
4. Is the baby a boy or a girl?
5. Where is the baby, in the bed or on the chair?
6. Who takes care of the baby, mom or dad?
7. Why is the baby special?","1. I can see a baby in the picture.
2. The baby is sleeping.
3. The baby's hat is white.
4. The baby is a boy.
5. The baby is in the bed.
6. Mom takes care of the baby.
7. The baby is special because he is small and cute."
Family & Friends,boy,,A boy is sitting. He is wearing a blue and white checkered shirt. The background is a wooden wall.,"1. What can you see in the picture?
2. What color is the boy's shirt?
3. What is the boy doing?
4. Where is the boy, inside or outside?
5. Is the boy a family member or a friend?
6. What makes the boy special?
7. Does the boy have a brother or a sister?","1. I can see a boy in the picture.
2. The boy's shirt is blue and white.
3. The boy is sitting.
4. The boy is inside.
5. The boy is a family member.
6. The boy is special because he is kind.
7. The boy has a brother."
