类别,提取名字,图片路径,信息提取 2,问题,答案
Food & Drink,broccoli,,"Some green broccoli, bitter and sweet, you can buy it at the supermarket or grocery store.","1. What can you see in the picture?
2. What color is the broccoli?
3. How does the broccoli taste, sweet or bitter?
4. Where can you buy broccoli, at the supermarket or at the park?
5. When do people eat broccoli, for breakfast or for dinner?
6. Is broccoli a fruit or a vegetable?
7. Do you like to eat broccoli?","1. I can see broccoli in the picture.
2. The broccoli is green.
3. The broccoli tastes bitter and sweet.
4. You can buy broccoli at the supermarket.
5. People eat broccoli for dinner.
6. Broccoli is a vegetable.
7. Yes, I like to eat broccoli."
Food & Drink,burger,,"A yummy burger with brown bread, green lettuce, red tomato, and yellow cheese. You can buy it at a burger shop. There is one burger in the picture.","1. What can you see in the picture?
2. What color is the bread?
3. What color is the lettuce?
4. How many burgers are in the picture?
5. Where can you buy a burger, at a burger shop or at a toy shop?
6. How does the burger taste, yummy or yucky?
7. When do people eat a burger, for breakfast or for lunch?","1. I can see a burger in the picture.
2. The bread is brown.
3. The lettuce is green.
4. There is one burger in the picture.
5. You can buy a burger at a burger shop.
6. The burger tastes yummy.
7. People eat a burger for lunch."
Food & Drink,butter,,"Some yellow butter on a table, with a knife and a blue cloth. The butter is rich and creamy, and you can buy it at the store or market.","1. What can you see in the picture?
2. What color is the butter?
3. What is next to the butter?
4. How does the butter taste?
5. Where can you buy butter, at the store or at the park?
6. When do people eat butter, in the morning or at night?
7. What is the butter on?","1. I can see butter in the picture.
2. The butter is yellow.
3. A knife is next to the butter.
4. The butter tastes creamy.
5. You can buy butter at the store.
6. People eat butter in the morning.
7. The butter is on a blue cloth."
Food & Drink,cake,,The cake is pink with brown chocolate drips and strawberries on top. It looks very sweet and fruity. You can get it from a bakery or make it at home. There is one cake in the picture.,"1. What can you see in the picture?
2. What color is the cake?
3. What is on top of the cake?
4. How does the cake taste, sweet or sour?
5. Where can you get the cake, at a bakery or at a park?
6. When do people eat cake, at breakfast or at a party?
7. Can you make the cake at home?","1. I can see a cake in the picture.
2. The cake is pink.
3. Strawberries are on top of the cake.
4. The cake tastes sweet.
5. You can get the cake at a bakery.
6. People eat cake at a party.
7. Yes, you can make the cake at home."
Food & Drink,candy,,"The candy is colorful and sweet. You can find many candies in a round box. They are red, green, yellow, blue, orange, purple, and white. You can buy them at a candy store.","1. What can you see in the picture?
2. What color is the candy?
3. How does the candy taste?
4. Where can you find the candy?
5. Where can you buy the candy, at a candy store or at a toy store?
6. When do people eat candy, in the morning or at a party?
7. Is the candy colorful or plain?","1. I can see candy in the picture.
2. The candy is red, green, yellow, blue, orange, purple, and white.
3. The candy tastes sweet.
4. You can find the candy in a round box.
5. You can buy the candy at a candy store.
6. People eat candy at a party.
7. The candy is colorful."
Food & Drink,carrot,,These are some orange carrots. They are sweet and you can find them in grocery stores or farmer's markets.,"1. What can you see in the picture?
2. What color are the carrots?
3. How do the carrots taste?
4. Where can you find carrots, in a grocery store or in a toy store?
5. When do people eat carrots, in the morning or at night?
6. What can you do with carrots, eat them or play with them?
7. Are carrots good for you?","1. I can see carrots in the picture.
2. The carrots are orange.
3. The carrots taste sweet.
4. You can find carrots in a grocery store.
5. People eat carrots in the morning and at night.
6. You can eat carrots.
7. Yes, carrots are good for you."
Food & Drink,chicken,,"A whole roasted chicken with brown and golden skin, looking savory and juicy, on a wooden board.","1. What can you see in the picture?
2. What color is the chicken?
3. How does the chicken taste?
4. When do people eat chicken, for lunch or for breakfast?
5. Where is the chicken, on a plate or on a wooden board?
6. Is the chicken hot or cold?
7. Do you like to eat chicken?","1. I can see a chicken in the picture.
2. The chicken is brown and golden.
3. The chicken tastes savory and juicy.
4. People eat chicken for lunch.
5. The chicken is on a wooden board.
6. The chicken is hot.
7. Yes, I like to eat chicken."
Food & Drink,chocolate,,The picture shows some pieces of brown chocolate on a wooden table. The chocolate looks sweet and yummy. You can buy it at a candy shop or supermarket.,"1. What can you see in the picture?
2. What color is the chocolate?
3. How does the chocolate taste, sweet or sour?
4. Where can you buy chocolate, at a candy shop or a toy shop?
5. When do people eat chocolate, in the morning or at snack time?
6. Is chocolate a fruit or a candy?
7. Do you like chocolate?","1. I can see chocolate in the picture.
2. The chocolate is brown.
3. The chocolate tastes sweet.
4. You can buy chocolate at a candy shop.
5. People eat chocolate at snack time.
6. Chocolate is a candy.
7. Yes, I like chocolate."
Food & Drink,coconut,,These are some coconuts. They are brown and white. They taste sweet and creamy. You can get them at a grocery store or market.,"1. What can you see in the picture?
2. What color is the coconut?
3. How does the coconut taste?
4. Where can you get a coconut, at a grocery store or a park?
5. When do people drink coconut water, in the morning or at night?
6. Is the coconut hard or soft?
7. Can you eat the coconut?","1. I can see a coconut in the picture.
2. The coconut is brown and white.
3. The coconut tastes sweet and creamy.
4. You can get a coconut at a grocery store.
5. People drink coconut water in the morning.
6. The coconut is hard.
7. Yes, you can eat the coconut."
Food & Drink,cookie,,The cookies are brown with chocolate chips. They look sweet and yummy. You can get them from a bakery or make them at home. There are some cookies stacked on top of each other.,"1. What can you see in the picture?
2. What color are the cookies?
3. How many cookies are there?
4. What is on the cookies?
5. Where can you get cookies, at a bakery or at a park?
6. How do the cookies taste, sweet or sour?
7. When do people eat cookies, in the morning or at night?","1. I can see cookies in the picture.
2. The cookies are brown.
3. There are many cookies.
4. There are chocolate chips on the cookies.
5. You can get cookies at a bakery.
6. The cookies taste sweet.
7. People eat cookies in the morning and at night."
Food & Drink,donuts,,These are some brown donuts with colorful sprinkles. They are sweet and you can get them from a bakery or store.,"1. What can you see in the picture?
2. What color are the donuts?
3. What is on the donuts?
4. How do the donuts taste, sweet or sour?
5. Where can you get donuts, at a bakery or at a park?
6. When do people eat donuts, in the morning or at night?
7. Do you like donuts?","1. I can see donuts in the picture.
2. The donuts are brown.
3. There are colorful sprinkles on the donuts.
4. The donuts taste sweet.
5. You can get donuts at a bakery.
6. People eat donuts in the morning.
7. Yes, I like donuts."
Food & Drink,ginger,,This is some yellow ginger. It is spicy. You can buy it at the supermarket.,"1. What can you see in the picture?
2. What color is the ginger?
3. How does the ginger taste, sweet or spicy?
4. Where can you buy ginger, at the supermarket or at the park?
5. When do people eat ginger, in the morning or at night?
6. Is ginger a fruit or a vegetable?
7. Can you eat ginger raw or cooked?","1. I can see ginger in the picture.
2. The ginger is yellow.
3. The ginger tastes spicy.
4. You can buy ginger at the supermarket.
5. People eat ginger in the morning.
6. Ginger is a vegetable.
7. You can eat ginger raw and cooked."
Food & Drink,grape,,These are some purple grapes. They are sweet and you can find them on a farm or market.,"1. What can you see in the picture?
2. What color are the grapes?
3. How do the grapes taste, sweet or sour?
4. Where can you find grapes, on a farm or in a forest?
5. When do people eat grapes, in the morning or at night?
6. How many grapes can you count?
7. What do grapes grow on, a tree or a vine?","1. I can see grapes in the picture.
2. The grapes are purple.
3. The grapes taste sweet.
4. You can find grapes on a farm.
5. People eat grapes in the morning.
6. I can count five grapes.
7. Grapes grow on a vine."
Food & Drink,juice,,This is some sweet orange juice in a glass and a jug. You can drink it with a straw. Oranges are nearby.,"1. What can you see in the picture?
2. What color is the juice?
3. How does the juice taste, sweet or sour?
4. What is in the glass, juice or milk?
5. When do people drink juice, in the morning or at night?
6. What is near the juice, oranges or apples?
7. How can you drink the juice, with a straw or with a spoon?","1. I can see juice in the picture.
2. The juice is orange.
3. The juice tastes sweet.
4. Juice is in the glass.
5. People drink juice in the morning.
6. Oranges are near the juice.
7. You can drink the juice with a straw."
Food & Drink,ketchup,,This is a bottle of red ketchup. It tastes tangy and sweet. You can buy it at stores or supermarkets. There is one bottle in the picture.,"1. What can you see in the picture?
2. What color is the ketchup?
3. How many bottles of ketchup are there?
4. Where can you buy ketchup, at a store or at a park?
5. How does the ketchup taste, sweet or sour?
6. When do people eat ketchup, with fries or with rice?","1. I can see a bottle of ketchup.
2. The ketchup is red.
3. There is one bottle of ketchup.
4. You can buy ketchup at a store.
5. The ketchup tastes sweet.
6. People eat ketchup with fries."
