类别,提取名字,图片路径,信息提取 2,问题,答案
Places&Preposition,police station,,A police station with two police cars parked outside. It has a green roof and a flagpole. Police officers work here to help people.,"1. What can you see in the picture?
2. What color is the roof?
3. How many police cars are there?
4. What is outside the police station?
5. What do police officers do at the police station?
6. Where is the flagpole, inside or outside?
7. What is on the roof, a flag or a car?","1. I can see a police station in the picture.
2. The roof is green.
3. There are two police cars.
4. The police cars are outside the police station.
5. Police officers help people at the police station.
6. The flagpole is outside.
7. There is a green roof on the police station."
Places&Preposition,post office,,A post office is a place where people can send letters and packages. You can see a big mailbox outside and a letter above the building. People go to the post office to buy stamps and send their mail.,"1. What can you see in the picture?
2. What color is the mailbox?
3. How many letters are on the table?
4. What is the man doing?
5. Where is the mailbox, inside or outside?
6. What do people send at the post office, letters or food?
7. Where do people go to send mail, to the post office or to the park?","1. I can see a post office in the picture.
2. The mailbox is blue.
3. There are three letters on the table.
4. The man is buying stamps.
5. The mailbox is outside.
6. People send letters at the post office.
7. People go to the post office to send mail."
Places&Preposition,restaurant,,"This is a restaurant with many tables and chairs. There are plates, glasses, and cutlery on the tables. The restaurant has lights hanging from the ceiling and plants around. People can eat, drink, and talk here.","1. What can you see in the picture?
2. What is on the tables?
3. What color are the chairs?
4. Where are the lights?
5. What do people do in the restaurant, eat or sleep?
6. How many plants can you see?
7. Where is the cutlery, on the table or on the floor?","1. I can see a restaurant in the picture.
2. Plates, glasses, and cutlery are on the tables.
3. The chairs are brown.
4. The lights are on the ceiling.
5. People eat in the restaurant.
6. I can see three plants.
7. The cutlery is on the table."
Places&Preposition,school,,"This is a school with a big clock and a bell on top. It has a ""Welcome!"" sign on the front. There are trees and bushes around the school.","1. What can you see in the picture?
2. What is on top of the school?
3. What color is the clock?
4. What is the sign on the front of the school?
5. Where are the trees, around the school or inside the school?
6. What do children do at school, play or sleep?
7. Where is the bell, on top of the school or under the school?","1. I can see a school in the picture.
2. A bell is on top of the school.
3. The clock is black.
4. The sign says 'Welcome!'
5. The trees are around the school.
6. Children play at school.
7. The bell is on top of the school."
Places&Preposition,shopping mall,,"A shopping mall has many shops, escalators, and railings. Shoppers can walk around and enjoy shopping.","1. What can you see in the picture?
2. What is in the shopping mall?
3. What color is the escalator?
4. How many railings can you see?
5. What are the people doing in the shopping mall?
6. Where is the escalator, in the middle or at the side?
7. What do people buy in the shopping mall, toys or food?","1. I can see a shopping mall in the picture.
2. There are many shops in the shopping mall.
3. The escalator is silver.
4. I can see two railings.
5. The people are shopping and walking.
6. The escalator is in the middle.
7. People buy toys and food in the shopping mall."
Places&Preposition,supermarket,,"A family is shopping in a supermarket. They are buying food, drinks, and other items. The supermarket has shelves full of groceries and a fridge with fresh fruits and vegetables.","1. What can you see in the picture?
2. What is in the supermarket?
3. What color is the fridge?
4. What is the family doing?
5. Where is the fruit, on the shelf or in the fridge?
6. What does the family buy, food or toys?
7. How do you go to the supermarket, by car or by bus?","1. I can see a supermarket in the picture.
2. There are shelves with food and drinks in the supermarket.
3. The fridge is white.
4. The family is shopping.
5. The fruit is in the fridge.
6. The family buys food.
7. You can go to the supermarket by car or by bus."
Places&Preposition,under,,A mouse is hiding under a big box.,"1. What can you see in the picture?
2. Where is the mouse?
3. What color is the box?
4. Is the box big or small?
5. What is the mouse doing?
6. Can you see the mouse, yes or no?
7. Where is the mouse hiding, under the box or on the box?","1. I can see a mouse in the picture.
2. The mouse is under the box.
3. The box is brown.
4. The box is big.
5. The mouse is hiding.
6. No, I cannot see the mouse.
7. The mouse is hiding under the box."
Places&Preposition,zoo,,"A zoo is a place where many animals live. Visitors can watch the animals, take photos, and walk around the park. There are trees, a waterfall, and a pond in the zoo.","1. What can you see in the picture?
2. What is in the zoo?
3. What color is the elephant?
4. Where is the lion, in the tree or on the grass?
5. What do people do at the zoo?
6. What is near the pond, a tree or a waterfall?
7. How do you go to the zoo, by car or by bus?","1. I can see a zoo in the picture.
2. There are animals in the zoo.
3. The elephant is gray.
4. The lion is on the grass.
5. People watch the animals and take photos.
6. A tree is near the pond.
7. You can go to the zoo by car or by bus."
Places&Preposition,airport,,This is an airport where airplanes take off and land. Travelers wait for their flights and go through security checks. There are many cars and a tall control tower to help pilots.,"1. What can you see in the picture?
2. What color is the airplane?
3. How many airplanes can you see?
4. What is the airplane doing?
5. Where is the control tower, next to the airplane or far away?
6. What do people do at the airport, wait or swim?
7. How do airplanes move?","1. I can see an airport in the picture.
2. The airplane is white.
3. I can see two airplanes.
4. The airplane is flying.
5. The control tower is next to the airplane.
6. People wait at the airport.
7. Airplanes fly in the sky."
Places&Preposition,beach,,"The beach is a place by the sea with soft sand, where people can relax, swim, and play. There are palm trees, a sandcastle, and crabs on the beach.","1. What can you see in the picture?
2. What color is the sand?
3. How many crabs can you see?
4. What is the boy doing?
5. Where is the palm tree, on the beach or in the sea?
6. What do people do at the beach, swim or sleep?
7. How does the crab move?","1. I can see a beach in the picture.
2. The sand is yellow.
3. I can see two crabs.
4. The boy is building a sandcastle.
5. The palm tree is on the beach.
6. People swim at the beach.
7. The crab walks sideways."
