类别,提取名字,图片路径,信息提取 2,问题,答案
The Home,chair,,This is a brown leather chair with wooden legs. It is in a living room or study. You can sit on it to relax.,"1. What can you see in the picture?
2. What color is the chair?
3. What is the chair made of, leather or paper?
4. Where is the chair, in the living room or the kitchen?
5. What can you do on the chair?
6. Is the chair for sitting or sleeping?
7. What is on the chair, a book or a plate?","1. I can see a chair in the picture.
2. The chair is brown.
3. The chair is made of leather.
4. The chair is in the living room.
5. You can sit on the chair.
6. The chair is for sitting.
7. A book is on the chair."
The Home,clock,,A red clock with a white face tells the time with black numbers and hands.,"1. What can you see in the picture?
2. What color is the clock?
3. What color is the face of the clock?
4. What does the clock tell us?
5. Where can you find a clock, in the kitchen or in the bathroom?
6. What do we do when we look at the clock?
7. What are the numbers on the clock, black or blue?","1. I can see a clock in the picture.
2. The clock is red.
3. The face of the clock is white.
4. The clock tells us the time.
5. You can find a clock in the kitchen.
6. We check the time.
7. The numbers on the clock are black."
The Home,cup,,This is a white cup and saucer. It is made of ceramic and is used for drinking. You can find it on the dining table or in the kitchen.,"1. What can you see in the picture?
2. What color is the cup?
3. What is the cup made of, plastic or ceramic?
4. What do we use the cup for?
5. Where can you find the cup, in the kitchen or in the bedroom?
6. What do we do in the kitchen, eat or sleep?
7. Is the cup on the dining table or on the sofa?","1. I can see a cup and saucer.
2. The cup is white.
3. The cup is made of ceramic.
4. We use the cup for drinking.
5. You can find the cup in the kitchen.
6. We eat in the kitchen.
7. The cup is on the dining table."
The Home,cupboard,,"This is a wooden cupboard with many shelves. It has two doors with handles. You can store books, toys, and other things inside.","1. What can you see in the picture?
2. What color is the cupboard?
3. How many doors does the cupboard have?
4. What can you put inside the cupboard?
5. Where is the cupboard, in the kitchen or in the bedroom?
6. What do you use to open the cupboard?
7. Is the cupboard big or small?","1. I can see a cupboard in the picture.
2. The cupboard is brown.
3. The cupboard has two doors.
4. You can put books and toys inside the cupboard.
5. The cupboard is in the bedroom.
6. You use the handles to open the cupboard.
7. The cupboard is big."
The Home,desk,,This is a wooden desk with two drawers. It is placed in a home office for working or studying.,"1. What can you see in the picture?
2. What color is the desk?
3. How many drawers does the desk have?
4. What is the desk used for?
5. Where is the desk, in the kitchen or in the home office?
6. What can you do on the desk, eat or write?
7. Is the desk big or small?","1. I can see a desk in the picture.
2. The desk is brown.
3. The desk has two drawers.
4. The desk is used for working or studying.
5. The desk is in the home office.
6. You can write on the desk.
7. The desk is big."
The Home,drawer,,This is a brown wooden drawer with silver handles. It is used for storing things in the living room or bedroom.,"1. What can you see in the picture?
2. What color is the drawer?
3. What is on the drawer?
4. What is the drawer used for?
5. Where is the drawer, in the living room or the kitchen?
6. What can you put in the drawer, toys or food?
7. Is the drawer big or small?","1. I can see a drawer in the picture.
2. The drawer is brown.
3. There are silver handles on the drawer.
4. The drawer is used for storing things.
5. The drawer is in the living room.
6. You can put toys in the drawer.
7. The drawer is big."
The Home,flower,,These pink flowers with yellow centers are in the garden. They are pretty and smell good.,"1. What can you see in the picture?
2. What color are the flowers?
3. What is in the center of the flowers?
4. Where are the flowers, in the garden or in the kitchen?
5. Do the flowers smell good or bad?
6. Are the flowers pretty or ugly?
7. What can you do in the garden?","1. I can see flowers in the picture.
2. The flowers are pink.
3. The center is yellow.
4. The flowers are in the garden.
5. The flowers smell good.
6. The flowers are pretty.
7. You can play and look at flowers in the garden."
The Home,house,,This is a house with blue siding and white trim. It has a nice lawn and a walkway to the front door.,"1. What can you see in the picture?
2. What color is the house?
3. What is in front of the house?
4. Where is the walkway?
5. What do you do in a house, sleep or swim?
6. Where is the house, in the city or in the forest?
7. What can you do in the house?","1. I can see a house in the picture.
2. The house is blue and white.
3. There is a lawn and a walkway in front of the house.
4. The walkway is to the front door.
5. You sleep in a house.
6. The house is in the city.
7. You can eat, sleep, and play in the house."
The Home,kitchen,,This is a kitchen with white cabinets and a wooden floor. There are chandeliers hanging from the ceiling. The kitchen has a big island with chairs for eating.,"1. What can you see in the picture?
2. What color are the cabinets?
3. What is the floor made of?
4. What is hanging from the ceiling?
5. What is in the middle of the kitchen?
6. What can you do in the kitchen, cook or sleep?
7. Where is the kitchen in a home?","1. I can see a kitchen in the picture.
2. The cabinets are white.
3. The floor is made of wood.
4. Chandeliers are hanging from the ceiling.
5. A big island is in the middle of the kitchen.
6. You can cook in the kitchen.
7. The kitchen is in the house."
The Home,lamp,,This is a lamp with a red base and a beige shade. It is used to light up the room.,"1. What can you see in the picture?
2. What color is the base of the lamp?
3. What color is the shade of the lamp?
4. What is the lamp used for?
5. Where can you find the lamp, in the living room or the kitchen?
6. What can you do in the room with the lamp, read or cook?","1. I can see a lamp in the picture.
2. The base is red.
3. The shade is beige.
4. The lamp is used to light up the room.
5. You can find the lamp in the living room.
6. You can read in the room with the lamp."
